행정구역명,신고인원,총수입금액
강남구,126186,35062652
강동구,75108,9564637
강북구,48514,4902456
강서구,96666,11631215
관악구,88286,8319351
광진구,65366,8457432
구로구,70115,8390356
금천구,41517,4377216
노원구,78243,9240016
도봉구,52557,5897460
동대문구,59153,8199283
동작구,68638,8965825
마포구,71077,9590049
서대문구,53408,6659617
서초구,96445,24379982
성동구,55769,9113764
성북구,74287,10350828
송파구,126419,21335023
양천구,79005,13076451
영등포구,70841,9852152
용산구,47229,11627137
은평구,77056,8778668
종로구,29540,5518807
중구,25490,4621063
중랑구,65193,6736127
